smiles,property_name,property_value,property_unit,label_source
*/C(=C(/*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,O2 Permeability Barrer,2150.0,Barrer,sim
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,2100.000001,Barrer,exp
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,899.9999991,Barrer,exp
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,460.0000003,Barrer,exp
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,Co2 Permeability Barrer,2100.000001,Barrer,sim
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,H2 Permeability Barrer,899.9999991,Barrer,sim
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,O2 Permeability Barrer,460.0000003,Barrer,sim
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,Co2 Permeability Barrer,5300.000005,Barrer,exp
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,H2 Permeability Barrer,2500.000002,Barrer,exp
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,O2 Permeability Barrer,1299.999999,Barrer,exp
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,Co2 Permeability Barrer,5300.000005,Barrer,sim
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,H2 Permeability Barrer,2500.000002,Barrer,sim
*/C(=C(/*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,O2 Permeability Barrer,1299.999999,Barrer,sim
*/C(=C(/*)c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,Co2 Permeability Barrer,1220.000001,Barrer,exp
*/C(=C(/*)c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,H2 Permeability Barrer,455.0000004,Barrer,exp
*/C(=C(/*)c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,O2 Permeability Barrer,194.9999998,Barrer,exp
*/C(=C(/*)c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,Co2 Permeability Barrer,1220.000001,Barrer,sim
*/C(=C(/*)c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,H2 Permeability Barrer,455.0000004,Barrer,sim
*/C(=C(/*)c1cccc(-c2ccc(C(C)(C)C)cc2)c1)c1ccccc1,O2 Permeability Barrer,194.9999998,Barrer,sim
*/C(=C(/*)c1cccc(-c2ccccc2)c1)c1ccccc1,Co2 Permeability Barrer,1299.999999,Barrer,exp
*/C(=C(/*)c1cccc(-c2ccccc2)c1)c1ccccc1,H2 Permeability Barrer,439.9999995,Barrer,exp
*/C(=C(/*)c1cccc(-c2ccccc2)c1)c1ccccc1,O2 Permeability Barrer,180.0,Barrer,exp
*/C(=C(/*)c1cccc(-c2ccccc2)c1)c1ccccc1,Co2 Permeability Barrer,1299.999999,Barrer,sim
*/C(=C(/*)c1cccc(-c2ccccc2)c1)c1ccccc1,H2 Permeability Barrer,439.9999995,Barrer,sim
*/C(=C(/*)c1cccc(-c2ccccc2)c1)c1ccccc1,O2 Permeability Barrer,180.0,Barrer,sim
*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,Co2 Permeability Barrer,2830.000003,Barrer,exp
*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,H2 Permeability Barrer,1310.000001,Barrer,exp
*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,O2 Permeability Barrer,719.9999993,Barrer,exp
*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,Co2 Permeability Barrer,2830.000003,Barrer,sim
*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,H2 Permeability Barrer,1310.000001,Barrer,sim
*/C(=C(/*)c1cccc([Si](C)(C)C)c1)c1ccccc1,O2 Permeability Barrer,719.9999993,Barrer,sim
*/C(=C(/*)c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,Co2 Permeability Barrer,35199.99996,Barrer,exp
*/C(=C(/*)c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,H2 Permeability Barrer,26999.99999,Barrer,exp
*/C(=C(/*)c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,O2 Permeability Barrer,14299.99998,Barrer,exp
*/C(=C(/*)c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,Co2 Permeability Barrer,35199.99996,Barrer,sim
*/C(=C(/*)c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,H2 Permeability Barrer,26999.99999,Barrer,sim
*/C(=C(/*)c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,O2 Permeability Barrer,14299.99998,Barrer,sim
*/C(=C(/CC*)\C)/C,Melting temperature,-13.65,C,
*/C(=C(/CC*)\Cl)/Cl,Melting temperature,26.85,C,
*/C(=C(/c1ccc(cc1)*)\OC(=O)C)/OC(=O)C,Thermal decomposition temperature,300.0,C,exp
